x y
4.522977828979492 8.988946914672852
5.039722442626953 4.442941665649414
4.890011787414551 -1.0411567687988281
4.652961730957031 -6.696331024169922
4.504671096801758 -13.338676452636719
4.264432907104492 -21.501571655273438
4.6840667724609375 -25.274234771728516
-3.114673614501953 -31.262317657470703
-4.932544708251953 -23.205257415771484
-4.746240615844727 -13.194080352783203
-4.664764404296875 -2.9229660034179688
-4.139524459838867 5.832942962646484
2.150078773498535 15.203157424926758
0.4619913101196289 11.224444389343262
